ligand,receptor,pathway_name,annotation
TGFB1,TGFBR2,TGFb,Secreted Signaling
TGFB1, TGFBR1,TGFb,Secreted Signaling
TGFB2,TGFBR2,TGFb,Secreted Signaling
TGFB2, TGFBR1,TGFb,Secreted Signaling
TGFB3,TGFBR2,TGFb,Secreted Signaling
TGFB3, TGFBR1,TGFb,Secreted Signaling
TGFB1, ACVR1B,TGFb,Secreted Signaling
TGFB1, ACVR1C,TGFb,Secreted Signaling
TGFB2, ACVR1B,TGFb,Secreted Signaling
TGFB2, ACVR1C,TGFb,Secreted Signaling
TGFB3, ACVR1B,TGFb,Secreted Signaling
TGFB3, ACVR1C,TGFb,Secreted Signaling
TGFB1, ACVR1,TGFb,Secreted Signaling
TGFB2, ACVR1,TGFb,Secreted Signaling
TGFB3, ACVR1,TGFb,Secreted Signaling
BMP2,ACVR2A,BMP,Secreted Signaling
BMP2, BMPR1A,BMP,Secreted Signaling
BMP2,ACVR2B,BMP,Secreted Signaling
BMP2,BMPR2,BMP,Secreted Signaling
BMP2,BMPR1B,BMP,Secreted Signaling
BMP2, ACVR2A,BMP,Secreted Signaling
BMP2, ACVR2B,BMP,Secreted Signaling
BMP2, BMPR2,BMP,Secreted Signaling
BMP4,ACVR2A,BMP,Secreted Signaling
BMP4, BMPR1A,BMP,Secreted Signaling
BMP4,ACVR2B,BMP,Secreted Signaling
BMP4,BMPR2,BMP,Secreted Signaling
BMP4,BMPR1B,BMP,Secreted Signaling
BMP4, ACVR2A,BMP,Secreted Signaling
BMP4, ACVR2B,BMP,Secreted Signaling
BMP4, BMPR2,BMP,Secreted Signaling
GDF5,ACVR2A,BMP,Secreted Signaling
GDF5, BMPR1A,BMP,Secreted Signaling
GDF5,ACVR2B,BMP,Secreted Signaling
GDF5,BMPR2,BMP,Secreted Signaling
GDF5,BMPR1B,BMP,Secreted Signaling
GDF5, ACVR2A,BMP,Secreted Signaling
GDF5, ACVR2B,BMP,Secreted Signaling
GDF5, BMPR2,BMP,Secreted Signaling
GDF6,ACVR2A,BMP,Secreted Signaling
GDF6, BMPR1A,BMP,Secreted Signaling
GDF6,ACVR2B,BMP,Secreted Signaling
GDF6,BMPR2,BMP,Secreted Signaling
GDF6,BMPR1B,BMP,Secreted Signaling
GDF6, ACVR2A,BMP,Secreted Signaling
GDF6, ACVR2B,BMP,Secreted Signaling
GDF6, BMPR2,BMP,Secreted Signaling
GDF7,ACVR2A,BMP,Secreted Signaling
GDF7, BMPR1A,BMP,Secreted Signaling
GDF7,ACVR2B,BMP,Secreted Signaling
GDF7,BMPR2,BMP,Secreted Signaling
GDF7,BMPR1B,BMP,Secreted Signaling
GDF7, ACVR2A,BMP,Secreted Signaling
GDF7, ACVR2B,BMP,Secreted Signaling
GDF7, BMPR2,BMP,Secreted Signaling
BMP15,BMPR1B,BMP,Secreted Signaling
BMP15, BMPR2,BMP,Secreted Signaling
BMP5,ACVR1,BMP,Secreted Signaling
BMP5, ACVR2A,BMP,Secreted Signaling
BMP5, ACVR2B,BMP,Secreted Signaling
BMP5,BMPR2,BMP,Secreted Signaling
BMP5, ACVR1,BMP,Secreted Signaling
BMP5,ACVR2A,BMP,Secreted Signaling
BMP5, BMPR1A,BMP,Secreted Signaling
BMP5,ACVR2B,BMP,Secreted Signaling
BMP5,BMPR1B,BMP,Secreted Signaling
BMP5, BMPR2,BMP,Secreted Signaling
BMP6,ACVR1,BMP,Secreted Signaling
BMP6, ACVR2A,BMP,Secreted Signaling
BMP6, ACVR2B,BMP,Secreted Signaling
BMP6,BMPR2,BMP,Secreted Signaling
BMP6, ACVR1,BMP,Secreted Signaling
BMP6,ACVR2A,BMP,Secreted Signaling
BMP6, BMPR1A,BMP,Secreted Signaling
BMP6,ACVR2B,BMP,Secreted Signaling
BMP6,BMPR1B,BMP,Secreted Signaling
BMP6, BMPR2,BMP,Secreted Signaling
BMP7,ACVR1,BMP,Secreted Signaling
BMP7, ACVR2A,BMP,Secreted Signaling
BMP7, ACVR2B,BMP,Secreted Signaling
BMP7,BMPR2,BMP,Secreted Signaling
BMP7, ACVR1,BMP,Secreted Signaling
BMP7,ACVR2A,BMP,Secreted Signaling
BMP7, BMPR1A,BMP,Secreted Signaling
BMP7,ACVR2B,BMP,Secreted Signaling
BMP7,BMPR1B,BMP,Secreted Signaling
BMP7, BMPR2,BMP,Secreted Signaling
BMP8A,ACVR1,BMP,Secreted Signaling
BMP8A, ACVR2A,BMP,Secreted Signaling
BMP8A, ACVR2B,BMP,Secreted Signaling
BMP8A,BMPR2,BMP,Secreted Signaling
BMP8A, ACVR1,BMP,Secreted Signaling
BMP8A,ACVR2A,BMP,Secreted Signaling
BMP8A, BMPR1A,BMP,Secreted Signaling
BMP8A,ACVR2B,BMP,Secreted Signaling
BMP8A,BMPR1B,BMP,Secreted Signaling
BMP8A, BMPR2,BMP,Secreted Signaling
BMP8B,ACVR1,BMP,Secreted Signaling
BMP8B, ACVR2A,BMP,Secreted Signaling
BMP8B, ACVR2B,BMP,Secreted Signaling
BMP8B,BMPR2,BMP,Secreted Signaling
BMP8B, ACVR1,BMP,Secreted Signaling
BMP8B,ACVR2A,BMP,Secreted Signaling
BMP8B, BMPR1A,BMP,Secreted Signaling
BMP8B,ACVR2B,BMP,Secreted Signaling
BMP8B,BMPR1B,BMP,Secreted Signaling
BMP8B, BMPR2,BMP,Secreted Signaling
BMP10,BMPR2,BMP10,Secreted Signaling
BMP10, ACVRL1,BMP10,Secreted Signaling
BMP10,ACVR2A,BMP10,Secreted Signaling
GDF2,BMPR2,BMP10,Secreted Signaling
GDF2, ACVRL1,BMP10,Secreted Signaling
GDF2,ACVR2A,BMP10,Secreted Signaling
GDF9,BMPR2,GDF,Secreted Signaling
GDF9, ACVR1B,GDF,Secreted Signaling
GDF10,ACVR1B,GDF,Secreted Signaling
GDF10, ACVR2A,GDF,Secreted Signaling
GDF11,ACVR2A,GDF,Secreted Signaling
GDF11, TGFBR1,GDF,Secreted Signaling
GDF11,ACVR2B,GDF,Secreted Signaling
GDF11,ACVR1B,GDF,Secreted Signaling
GDF11, ACVR2B,GDF,Secreted Signaling
GDF15,TGFBR2,GDF,Secreted Signaling
MSTN,ACVR2B,MSTN,Secreted Signaling
MSTN, TGFBR1,MSTN,Secreted Signaling
MSTN,ACVR1B,MSTN,Secreted Signaling
MSTN, ACVR2B,MSTN,Secreted Signaling
MSTN, ACVR2A,MSTN,Secreted Signaling
MSTN,ACVR2A,MSTN,Secreted Signaling
AMH,ACVR1,AMH,Secreted Signaling
AMH, AMHR2,AMH,Secreted Signaling
AMH,AMHR2,AMH,Secreted Signaling
AMH, BMPR1A,AMH,Secreted Signaling
GDNF,GFRA1,GDNF,Secreted Signaling
GDNF, RET,GDNF,Secreted Signaling
NRTN,GFRA2,GDNF,Secreted Signaling
NRTN, RET,GDNF,Secreted Signaling
ARTN,GFRA3,GDNF,Secreted Signaling
ARTN, RET,GDNF,Secreted Signaling
PSPN,GFRA4,GDNF,Secreted Signaling
PSPN, RET,GDNF,Secreted Signaling
ARTN,GFRA1,GDNF,Secreted Signaling
NODAL,ACVR1B,NODAL,Secreted Signaling
NODAL, ACVR2A,NODAL,Secreted Signaling
